Category,DayOfWeek,PdDistrict,X,Y
ROBBERY,Monday,NORTHERN,-122.42094190608499,37.787596162201204
ROBBERY,Monday,MISSION,-122.40633841268499,37.7530042877223
ROBBERY,Monday,PARK,-122.450709919144,37.7695262270693
ROBBERY,Sunday,SOUTHERN,-122.408421116922,37.7835699386918
ROBBERY,Sunday,INGLESIDE,-122.42446746767,37.7360604757326
ROBBERY,Sunday,TENDERLOIN,-122.41241426358101,37.7830037964534
ROBBERY,Sunday,INGLESIDE,-122.435948790634,37.7239005113194
ROBBERY,Sunday,SOUTHERN,-122.401717203116,37.778149203884794
ROBBERY,Sunday,CENTRAL,-122.404013943546,37.7897518225049
ROBBERY,Sunday,TENDERLOIN,-122.411965795229,37.78491418595621
ROBBERY,Sunday,SOUTHERN,-122.408368579345,37.7807784253732
ROBBERY,Sunday,BAYVIEW,-122.395175272523,37.7449106281886
ROBBERY,Sunday,INGLESIDE,-122.416000227907,37.7119155437754
ROBBERY,Saturday,SOUTHERN,-122.396707150502,37.785542950304105
ROBBERY,Saturday,MISSION,-122.41561633832,37.7685360123583
ROBBERY,Saturday,BAYVIEW,-122.38741354016899,37.730039921631395
ROBBERY,Saturday,SOUTHERN,-122.420070667868,37.7725377370829
ROBBERY,Saturday,TENDERLOIN,-122.41013523637699,37.78418890752671
ROBBERY,Saturday,MISSION,-122.41860030588998,37.7546255872838
ROBBERY,Friday,BAYVIEW,-122.39207416787201,37.7308550434271
ROBBERY,Friday,MISSION,-122.419705544806,37.7537707037081
ROBBERY,Friday,SOUTHERN,-122.407633520742,37.7841893501425
ROBBERY,Friday,INGLESIDE,-122.438695075365,37.7196920262929
ROBBERY,Friday,RICHMOND,-122.499588611946,37.7774810132118
ROBBERY,Friday,TENDERLOIN,-122.40785423453801,37.7854922044602
ROBBERY,Friday,CENTRAL,-122.402029439338,37.7919125929966
ROBBERY,Friday,MISSION,-122.40753833231899,37.7657827544276
ROBBERY,Friday,TENDERLOIN,-122.414743835382,37.778719262789004
ROBBERY,Friday,BAYVIEW,-122.403244815235,37.743794425493604
ROBBERY,Friday,INGLESIDE,-122.42164447844699,37.7429970144076
ROBBERY,Thursday,CENTRAL,-122.41191976744601,37.7972709943716
ROBBERY,Thursday,BAYVIEW,-122.39653380353901,37.7619236146285
ROBBERY,Thursday,PARK,-122.44016803747401,37.762187349301705
ROBBERY,Thursday,PARK,-122.44787909877,37.7746658561922
ROBBERY,Thursday,RICHMOND,-122.493169588559,37.7777710152466
ROBBERY,Thursday,NORTHERN,-122.418711104991,37.7807726314915
ROBBERY,Thursday,MISSION,-122.41952899882601,37.762877666705606
ROBBERY,Wednesday,SOUTHERN,-122.403434086745,37.78764305018
ROBBERY,Wednesday,NORTHERN,-122.426571288872,37.7776315159135
ROBBERY,Wednesday,SOUTHERN,-122.40738717209801,37.7810688918781
ROBBERY,Wednesday,CENTRAL,-122.396612261014,37.7950446763389
ROBBERY,Wednesday,BAYVIEW,-122.387098994172,37.736242131447604
KIDNAPPING,Wednesday,BAYVIEW,-122.390416955474,37.7355926105862
ROBBERY,Wednesday,BAYVIEW,-122.390416955474,37.7355926105862
ROBBERY,Wednesday,CENTRAL,-122.402163713618,37.7895710255863
ROBBERY,Wednesday,INGLESIDE,-122.42197091902901,37.74237522452549
ROBBERY,Wednesday,MISSION,-122.419858465007,37.7627429027065
ROBBERY,Tuesday,SOUTHERN,-122.40950430935,37.781526271747
ROBBERY,Tuesday,NORTHERN,-122.420713728356,37.791054571840796
ROBBERY,Tuesday,INGLESIDE,-122.416139628673,37.7086777563714
ROBBERY,Tuesday,TARAVAL,-122.476531857663,37.7173471092577
ROBBERY,Tuesday,BAYVIEW,-122.390978248429,37.733588480771395
ROBBERY,Tuesday,SOUTHERN,-122.40443970383801,37.777058307998296
ROBBERY,Tuesday,INGLESIDE,-122.43570645022699,37.71411212537
ROBBERY,Tuesday,MISSION,-122.42768226481701,37.76831480085021
ROBBERY,Tuesday,MISSION,-122.41952899882601,37.762877666705606
ROBBERY,Tuesday,SOUTHERN,-122.404899281734,37.7766207854474
ROBBERY,Tuesday,PARK,-122.440720545257,37.7667916111324
ROBBERY,Tuesday,INGLESIDE,-122.42085671633998,37.7402205692099
ROBBERY,Monday,TENDERLOIN,-122.407877787733,37.785968007677496
ROBBERY,Monday,INGLESIDE,-122.417075711987,37.7087983078621
ROBBERY,Monday,NORTHERN,-122.42521142911,37.7795180588339
ROBBERY,Monday,BAYVIEW,-122.403200768251,37.7492481509753
ROBBERY,Monday,NORTHERN,-122.423898239301,37.7725026632238
ROBBERY,Monday,NORTHERN,-122.423898239301,37.7725026632238
ROBBERY,Monday,MISSION,-122.418448186101,37.7522391652625
ROBBERY,Monday,CENTRAL,-122.40498359934999,37.79578633623979
ROBBERY,Monday,SOUTHERN,-122.41029351969,37.7822305870036
ROBBERY,Monday,TENDERLOIN,-122.40947349732001,37.784816365102
ROBBERY,Monday,CENTRAL,-122.41292895522,37.7896868265784
ROBBERY,Monday,NORTHERN,-122.43119127384001,37.7675951399801
ROBBERY,Monday,NORTHERN,-122.429924735328,37.7698512195148
ROBBERY,Monday,SOUTHERN,-122.408068345148,37.7839916768161
ROBBERY,Sunday,BAYVIEW,-122.40107370698401,37.7215354316708
ROBBERY,Sunday,MISSION,-122.41283855401899,37.7509678760759
ROBBERY,Sunday,CENTRAL,-122.411068869703,37.78885570426971
ROBBERY,Sunday,CENTRAL,-122.416614060876,37.786777956045
ROBBERY,Sunday,TARAVAL,-122.465654109201,37.7621431286655
ROBBERY,Sunday,INGLESIDE,-122.4232625139,37.7427224817043
ROBBERY,Sunday,INGLESIDE,-122.4232625139,37.7427224817043
ROBBERY,Sunday,INGLESIDE,-122.4232625139,37.7427224817043
ROBBERY,Sunday,SOUTHERN,-122.401692292616,37.786588859076296
ROBBERY,Sunday,SOUTHERN,-122.401668404902,37.770528352861795
ROBBERY,Sunday,BAYVIEW,-122.401399497577,37.70911172039371
ROBBERY,Sunday,BAYVIEW,-122.401399497577,37.70911172039371
ROBBERY,Sunday,TENDERLOIN,-122.412224164736,37.7820729312029
ROBBERY,Sunday,TARAVAL,-122.463065888788,37.7113410462306
ROBBERY,Sunday,TARAVAL,-122.463065888788,37.7113410462306
ROBBERY,Sunday,TENDERLOIN,-122.417710344726,37.7842362877887
ROBBERY,Sunday,SOUTHERN,-122.40340479147899,37.775420706711
ROBBERY,Sunday,SOUTHERN,-122.394484874311,37.787298235524396
ROBBERY,Saturday,INGLESIDE,-122.414855261965,37.7094116434885
ROBBERY,Saturday,NORTHERN,-122.41995005763201,37.7865904778229
ROBBERY,Saturday,MISSION,-122.40818042923,37.7520351527768
ROBBERY,Saturday,SOUTHERN,-122.420001436964,37.7740948566882
ROBBERY,Saturday,MISSION,-122.418694905088,37.74824538358239
ROBBERY,Saturday,SOUTHERN,-122.417523396516,37.7738670346175
ROBBERY,Saturday,SOUTHERN,-122.417523396516,37.7738670346175
ROBBERY,Saturday,SOUTHERN,-122.419842305148,37.7748226184309
ROBBERY,Saturday,NORTHERN,-122.41973983780501,37.7858926099715
ROBBERY,Saturday,INGLESIDE,-122.43169048433901,37.715772828606795
ROBBERY,Saturday,SOUTHERN,-122.408595110869,37.7837069301545
ROBBERY,Saturday,INGLESIDE,-122.433623421746,37.72623583047221
ROBBERY,Saturday,TENDERLOIN,-122.414242955907,37.783724025447796
ROBBERY,Saturday,NORTHERN,-122.419183096362,37.78309982445921
ROBBERY,Saturday,NORTHERN,-122.418045452768,37.7775118895695
ROBBERY,Friday,NORTHERN,-122.419697721691,37.7773009526003
ROBBERY,Friday,SOUTHERN,-122.38837987391899,37.783310406701496
ROBBERY,Friday,CENTRAL,-122.396556426173,37.7941169057941
ROBBERY,Friday,BAYVIEW,-122.39097173455099,37.734015218072294
ROBBERY,Friday,MISSION,-122.40352479521799,37.7544534411473
ROBBERY,Friday,NORTHERN,-122.41988493945699,37.77825108324121
ROBBERY,Friday,BAYVIEW,-122.39944365894199,37.73017601616471
ROBBERY,Friday,CENTRAL,-122.40698104696699,37.7946373197462
ROBBERY,Friday,INGLESIDE,-122.435161640813,37.7243102435436
ROBBERY,Friday,SOUTHERN,-122.407633520742,37.7841893501425
ROBBERY,Friday,TENDERLOIN,-122.411615075408,37.7831614109395
ROBBERY,Friday,CENTRAL,-122.41328887250799,37.7914655329997
ROBBERY,Thursday,NORTHERN,-122.41824964748,37.7872715205959
ROBBERY,Thursday,PARK,-122.452706340322,37.769215670589396
ROBBERY,Thursday,PARK,-122.446612978839,37.7822458223917
ROBBERY,Thursday,NORTHERN,-122.42332939522899,37.7866266269211
ROBBERY,Thursday,INGLESIDE,-122.43169048433901,37.715772828606795
ROBBERY,Thursday,NORTHERN,-122.419858277339,37.786137125238
ROBBERY,Thursday,TENDERLOIN,-122.41402982172701,37.7823291237659
ROBBERY,Thursday,NORTHERN,-122.42535076491,37.7722825266526
ROBBERY,Thursday,TENDERLOIN,-122.411615075408,37.7831614109395
ROBBERY,Thursday,SOUTHERN,-122.408595110869,37.7837069301545
ROBBERY,Thursday,TENDERLOIN,-122.416261836834,37.78537508463761
ROBBERY,Thursday,SOUTHERN,-122.408953598279,37.783287873572
ROBBERY,Thursday,NORTHERN,-122.41910442464399,37.78687648416079
ROBBERY,Wednesday,NORTHERN,-122.41877149400699,37.789133887761395
ROBBERY,Wednesday,SOUTHERN,-122.42251303784799,37.7707107653585
ROBBERY,Wednesday,MISSION,-122.418272166422,37.76190296130221
ROBBERY,Wednesday,BAYVIEW,-122.405610268222,37.732438864982
ROBBERY,Wednesday,TARAVAL,-122.477976682169,37.7269346350353
ROBBERY,Wednesday,TENDERLOIN,-122.415694922134,37.7825851968467
ROBBERY,Wednesday,BAYVIEW,-122.405610268222,37.732438864982
ROBBERY,Wednesday,CENTRAL,-122.396556426173,37.7941169057941
ROBBERY,Wednesday,TARAVAL,-122.47596480997,37.7495676252131
ROBBERY,Wednesday,MISSION,-122.42238859985201,37.7648319521443
ROBBERY,Tuesday,INGLESIDE,-122.43570645022699,37.71411212537
ROBBERY,Tuesday,CENTRAL,-122.41461383541201,37.806392787676295
ROBBERY,Tuesday,INGLESIDE,-122.43570645022699,37.71411212537
ROBBERY,Tuesday,TENDERLOIN,-122.41219255572099,37.781604574125204
ROBBERY,Tuesday,CENTRAL,-122.413349164272,37.8084667368908
ROBBERY,Tuesday,SOUTHERN,-122.40891322980801,37.781211650766295
ROBBERY,Tuesday,TENDERLOIN,-122.414056291891,37.7827931071006
ROBBERY,Tuesday,MISSION,-122.42240555639799,37.7695685274969
ROBBERY,Tuesday,MISSION,-122.41748832363899,37.7651818039906
ROBBERY,Tuesday,MISSION,-122.42622844691601,37.7630312947078
ROBBERY,Tuesday,CENTRAL,-122.412782236976,37.8056654684523
ROBBERY,Monday,CENTRAL,-122.41940420659401,37.7925922910686
ROBBERY,Monday,BAYVIEW,-122.406579899872,37.7295196742427
ROBBERY,Monday,INGLESIDE,-122.407873817251,37.714143390059206
ROBBERY,Monday,INGLESIDE,-122.410829623756,37.734733171769705
ROBBERY,Monday,SOUTHERN,-122.40805253847,37.7815668300024
ROBBERY,Monday,CENTRAL,-122.404033177237,37.7907593489246
ROBBERY,Monday,NORTHERN,-122.420250482603,37.780074574633396
ROBBERY,Monday,SOUTHERN,-122.407902468508,37.784253176872
ROBBERY,Monday,INGLESIDE,-122.416000227907,37.7119155437754
ROBBERY,Monday,MISSION,-122.408192367379,37.7528534193268
ROBBERY,Sunday,NORTHERN,-122.431046366089,37.7830295716044
ROBBERY,Sunday,SOUTHERN,-122.365565425353,37.8096707013239
ROBBERY,Sunday,SOUTHERN,-122.411071423064,37.7817511307229
ROBBERY,Sunday,TENDERLOIN,-122.415127837608,37.7797870676495
ROBBERY,Sunday,CENTRAL,-122.409981227769,37.7974004148406
ROBBERY,Sunday,TENDERLOIN,-122.415120589338,37.7817589366405
ROBBERY,Sunday,TENDERLOIN,-122.407244087032,37.7865647607685
ROBBERY,Sunday,NORTHERN,-122.431046366089,37.7830295716044
ROBBERY,Sunday,TENDERLOIN,-122.416342977622,37.7824465135592
ROBBERY,Sunday,INGLESIDE,-122.42055675144199,37.7108945814914
ROBBERY,Sunday,CENTRAL,-122.406478762416,37.7951450868486
ROBBERY,Saturday,INGLESIDE,-122.407270346349,37.712897768697204
ROBBERY,Saturday,CENTRAL,-122.40332128984,37.7955312151592
ROBBERY,Saturday,CENTRAL,-122.4170677959,37.804987026494395
ROBBERY,Saturday,BAYVIEW,-122.392184416166,37.745101531365
ROBBERY,Saturday,BAYVIEW,-122.40257121696399,37.7641259075201
ROBBERY,Saturday,MISSION,-122.419970859857,37.767454034417604
ROBBERY,Saturday,MISSION,-122.418748733523,37.755437187509706
ROBBERY,Saturday,SOUTHERN,-122.403434086745,37.78764305018
ROBBERY,Saturday,SOUTHERN,-122.403434086745,37.78764305018
ROBBERY,Saturday,MISSION,-122.418448186101,37.7522391652625
ROBBERY,Saturday,INGLESIDE,-122.40647668020901,37.7145752839665
ROBBERY,Saturday,MISSION,-122.412051228021,37.761644197745
ROBBERY,Friday,TENDERLOIN,-122.413706517535,37.7814229318029
ROBBERY,Friday,NORTHERN,-122.42019129511999,37.783870392089796
ROBBERY,Friday,INGLESIDE,-122.420084075242,37.7083109744591
ROBBERY,Friday,TENDERLOIN,-122.41487855905001,37.7826335031541
ROBBERY,Friday,SOUTHERN,-122.42218826142599,37.7726948236861
ROBBERY,Friday,NORTHERN,-122.422467251653,37.7826837258796
ROBBERY,Friday,PARK,-122.45353456066002,37.76916629780521
ROBBERY,Friday,PARK,-122.44199787717899,37.7706369983974
ROBBERY,Thursday,SOUTHERN,-122.405832474482,37.7857446545609
ROBBERY,Thursday,TARAVAL,-122.509265276857,37.7630727687234
ROBBERY,Thursday,SOUTHERN,-122.41093920555201,37.779212259008496
ROBBERY,Thursday,SOUTHERN,-122.41029351969,37.7822305870036
ROBBERY,Thursday,MISSION,-122.419671780296,37.7650501214668
ROBBERY,Thursday,NORTHERN,-122.416293820935,37.777493677735
ROBBERY,Thursday,MISSION,-122.417878226786,37.7522731644848
ROBBERY,Thursday,CENTRAL,-122.39939245756099,37.7933368944757
ROBBERY,Thursday,NORTHERN,-122.42192128641899,37.7892209019337
ROBBERY,Wednesday,INGLESIDE,-122.42642247360399,37.7286172830296
ROBBERY,Wednesday,TENDERLOIN,-122.40947349732001,37.784816365102
ROBBERY,Wednesday,SOUTHERN,-122.41093920555201,37.779212259008496
ROBBERY,Wednesday,NORTHERN,-122.425657509762,37.7775471852907
ROBBERY,Wednesday,INGLESIDE,-122.417225757723,37.7471608234479
ROBBERY,Wednesday,BAYVIEW,-122.391434800433,37.7381270935013
ROBBERY,Wednesday,SOUTHERN,-122.395745472984,37.77769954052121
ROBBERY,Tuesday,INGLESIDE,-122.448448500286,37.7184072152268
ROBBERY,Tuesday,TENDERLOIN,-122.41607528505101,37.78444966127911
ROBBERY,Tuesday,TENDERLOIN,-122.410157073911,37.784297384331204
ROBBERY,Tuesday,CENTRAL,-122.408433097286,37.7967039278443
ROBBERY,Tuesday,SOUTHERN,-122.40340479147899,37.775420706711
ROBBERY,Tuesday,NORTHERN,-122.438381234335,37.8035432868953
ROBBERY,Tuesday,NORTHERN,-122.417885441042,37.785437847196796
ROBBERY,Tuesday,SOUTHERN,-122.41251534135598,37.78047774805079
ROBBERY,Monday,CENTRAL,-122.407822401083,37.7976687725776
ROBBERY,Monday,CENTRAL,-122.40901700761299,37.7994880717633
ROBBERY,Monday,BAYVIEW,-122.39991152170201,37.7572421779634
ROBBERY,Monday,PARK,-122.433256948064,37.7658609302161
ROBBERY,Monday,BAYVIEW,-122.395285364874,37.7303641478199
ROBBERY,Monday,INGLESIDE,-122.43243363629,37.7213772561505
ROBBERY,Monday,NORTHERN,-122.430234565273,37.779782426168296
ROBBERY,Monday,SOUTHERN,-122.407633520742,37.7841893501425
ROBBERY,Monday,PARK,-122.448969965226,37.7612508132309
ROBBERY,Monday,CENTRAL,-122.404593754303,37.7938023834638
ROBBERY,Monday,SOUTHERN,-122.407633520742,37.7841893501425
ROBBERY,Monday,SOUTHERN,-122.411071423064,37.7817511307229
ROBBERY,Monday,INGLESIDE,-122.435161640813,37.7243102435436
ROBBERY,Monday,TARAVAL,-122.468105304613,37.71096391463939
ROBBERY,Monday,CENTRAL,-122.40838427554199,37.7878271137225
ROBBERY,Monday,PARK,-122.43723558984101,37.772204193971895
ROBBERY,Sunday,CENTRAL,-122.403663463962,37.788894680211
ROBBERY,Sunday,INGLESIDE,-122.434194120521,37.7132022363182
ROBBERY,Sunday,MISSION,-122.41965834371,37.7642205603745
ROBBERY,Sunday,MISSION,-122.422158645677,37.7684403915766
ROBBERY,Sunday,MISSION,-122.420506814667,37.7505052869191
ROBBERY,Sunday,MISSION,-122.416397509503,37.766049241592704
ROBBERY,Saturday,INGLESIDE,-122.43972350405599,37.7358872170836
ROBBERY,Saturday,MISSION,-122.419671780296,37.7650501214668
ROBBERY,Saturday,BAYVIEW,-122.41150632577299,37.728231195945895
ROBBERY,Saturday,CENTRAL,-122.403678112414,37.797297202947895
ROBBERY,Saturday,CENTRAL,-122.40548076226901,37.7903312930658
ROBBERY,Saturday,NORTHERN,-122.431046366089,37.7830295716044
ROBBERY,Saturday,BAYVIEW,-122.41948538574499,37.72904641014029
ROBBERY,Saturday,TENDERLOIN,-122.407845374111,37.7850943210103
ROBBERY,Saturday,INGLESIDE,-122.418110235053,37.7095406329535
ROBBERY,Saturday,TARAVAL,-122.457441212767,37.7098427794823
ROBBERY,Saturday,SOUTHERN,-122.405832474482,37.7857446545609
ROBBERY,Friday,MISSION,-122.41965834371,37.7642205603745
ROBBERY,Friday,BAYVIEW,-122.399925153475,37.72151825146821
ROBBERY,Friday,CENTRAL,-122.413349164272,37.8084667368908
ROBBERY,Friday,MISSION,-122.419515708406,37.7634292328496
ROBBERY,Friday,INGLESIDE,-122.42197091902901,37.74237522452549
ROBBERY,Friday,INGLESIDE,-122.437150548382,37.721573996511204
ROBBERY,Friday,PARK,-122.441695636568,37.7814248717141
ROBBERY,Friday,BAYVIEW,-122.393914948342,37.730836469083705
ROBBERY,Friday,INGLESIDE,-122.405634443479,37.711935372769105
ROBBERY,Friday,INGLESIDE,-122.440940005427,37.7132592659067
ROBBERY,Friday,SOUTHERN,-122.408953598279,37.783287873572
ROBBERY,Friday,INGLESIDE,-122.444314025188,37.7131083433264
ROBBERY,Friday,TENDERLOIN,-122.414433155063,37.7846576329256
ROBBERY,Friday,MISSION,-122.409529913278,37.7657184395282
ROBBERY,Friday,TENDERLOIN,-122.407845374111,37.7850943210103
ROBBERY,Thursday,CENTRAL,-122.409652663162,37.7964914531604
ROBBERY,Thursday,CENTRAL,-122.417295322526,37.7862578545865
ROBBERY,Thursday,SOUTHERN,-122.40871060666299,37.78097067220529
ROBBERY,Thursday,SOUTHERN,-122.408421116922,37.7835699386918
ROBBERY,Thursday,INGLESIDE,-122.43169048433901,37.715772828606795
ROBBERY,Thursday,SOUTHERN,-122.41029351969,37.7822305870036
ROBBERY,Thursday,SOUTHERN,-122.40340479147899,37.775420706711
ROBBERY,Thursday,SOUTHERN,-122.407902468508,37.784253176872
ROBBERY,Thursday,SOUTHERN,-122.41750470314501,37.7765400380328
ROBBERY,Thursday,MISSION,-122.422045943548,37.7665387195995
ROBBERY,Thursday,BAYVIEW,-122.39944365894199,37.73017601616471
ROBBERY,Thursday,PARK,-122.438328082289,37.7797665517286
ROBBERY,Thursday,SOUTHERN,-122.38877800180599,37.7807643532489
ROBBERY,Thursday,CENTRAL,-122.404895799327,37.7965641992536
ROBBERY,Thursday,MISSION,-122.43050530940799,37.764451394317796
ROBBERY,Thursday,MISSION,-122.420903157057,37.7626237566022
ROBBERY,Thursday,MISSION,-122.43062552704201,37.7624209454461
ROBBERY,Wednesday,RICHMOND,-122.479685724438,37.7677603209494
ROBBERY,Wednesday,CENTRAL,-122.40557541431002,37.7905641270131
ROBBERY,Wednesday,MISSION,-122.413250370402,37.7525005885994
ROBBERY,Wednesday,MISSION,-122.41205070456199,37.7542302702624
ROBBERY,Wednesday,INGLESIDE,-122.40689383273501,37.71957781246369
ROBBERY,Wednesday,TENDERLOIN,-122.412784096502,37.78486569395261
ROBBERY,Wednesday,INGLESIDE,-122.44000661153099,37.721804883554704
ROBBERY,Wednesday,INGLESIDE,-122.441875049341,37.7190816366411
ROBBERY,Wednesday,SOUTHERN,-122.419257894814,37.7751462916539
ROBBERY,Tuesday,SOUTHERN,-122.394688229661,37.7889437645084
ROBBERY,Tuesday,MISSION,-122.428051707644,37.7580899767786
ROBBERY,Tuesday,TENDERLOIN,-122.41032349523199,37.7851225223607
ROBBERY,Tuesday,TENDERLOIN,-122.41753069698,37.78331075399689
ROBBERY,Tuesday,TENDERLOIN,-122.407877787733,37.785968007677496
ROBBERY,Tuesday,MISSION,-122.40781914809999,37.76320890498009
ROBBERY,Tuesday,NORTHERN,-122.4178091031,37.7847098968616
ROBBERY,Monday,NORTHERN,-122.417999278691,37.7856407526644
ROBBERY,Monday,SOUTHERN,-122.414457764634,37.7765080370233
ROBBERY,Monday,MISSION,-122.418486296575,37.763495437314404
ROBBERY,Monday,CENTRAL,-122.41764134265301,37.787173525007894
ROBBERY,Monday,CENTRAL,-122.41417943719,37.787502483207
ROBBERY,Monday,SOUTHERN,-122.39670853025999,37.79787288559329
ROBBERY,Monday,CENTRAL,-122.40401016818998,37.7887938987614
ROBBERY,Monday,SOUTHERN,-122.403793259489,37.7823235897616
ROBBERY,Monday,SOUTHERN,-122.40652098714399,37.7850629421661
ROBBERY,Monday,CENTRAL,-122.398919477596,37.796953574467004
ROBBERY,Monday,NORTHERN,-122.429622714719,37.772155828498704
ROBBERY,Monday,INGLESIDE,-122.439764048306,37.722069392727214
ROBBERY,Monday,TENDERLOIN,-122.410768766343,37.7832145190013
ROBBERY,Sunday,MISSION,-122.41967661615,37.7658510977435
ROBBERY,Sunday,TENDERLOIN,-122.416261836834,37.78537508463761
ROBBERY,Sunday,SOUTHERN,-122.408421116922,37.7835699386918
ROBBERY,Sunday,MISSION,-122.42240664656299,37.7584850187369
ROBBERY,Sunday,TENDERLOIN,-122.412224164736,37.7820729312029
ROBBERY,Sunday,INGLESIDE,-122.43308971434999,37.72278844040071
ROBBERY,Sunday,NORTHERN,-122.427042151546,37.8011054678398
ROBBERY,Saturday,BAYVIEW,-122.403595293514,37.7276340992506
ROBBERY,Saturday,INGLESIDE,-122.439819026647,37.714105192097996
ROBBERY,Saturday,PARK,-122.433661492778,37.775465227763796
ROBBERY,Saturday,SOUTHERN,-122.413564091744,37.779514030063
ROBBERY,Saturday,TENDERLOIN,-122.409853729941,37.7833862379382
ROBBERY,Saturday,INGLESIDE,-122.44660721495,37.7207231268789
ROBBERY,Saturday,SOUTHERN,-122.39410262452499,37.7763827130285
ROBBERY,Saturday,MISSION,-122.417028392106,37.7603656931573
ROBBERY,Saturday,SOUTHERN,-122.393110640713,37.77731032196979
ROBBERY,Saturday,MISSION,-122.40352479521799,37.7544534411473
ROBBERY,Saturday,NORTHERN,-122.41827417166,37.7870372043685
ROBBERY,Saturday,PARK,-122.44684693302,37.777668821703294
ROBBERY,Friday,BAYVIEW,-122.387808528933,37.736922497083604
ROBBERY,Friday,MISSION,-122.41560549623699,37.767717752066496
ROBBERY,Friday,CENTRAL,-122.412439198419,37.7877227389961
ROBBERY,Friday,BAYVIEW,-122.389982996986,37.7287295296745
ROBBERY,Friday,CENTRAL,-122.403846623514,37.7898284156061
ROBBERY,Friday,MISSION,-122.41560549623699,37.767717752066496
ROBBERY,Friday,CENTRAL,-122.414635954342,37.806501229113
ROBBERY,Friday,TENDERLOIN,-122.41262214366199,37.7844169819545
ROBBERY,Friday,MISSION,-122.41860030588998,37.7546255872838
ROBBERY,Friday,INGLESIDE,-122.426390080828,37.7185612508135
ROBBERY,Friday,MISSION,-122.434063454683,37.762548636754495
ROBBERY,Friday,MISSION,-122.420814723424,37.7617461824936
ROBBERY,Friday,PARK,-122.461382597213,37.745568779703795
ROBBERY,Thursday,SOUTHERN,-122.409793939547,37.77918239334621
ROBBERY,Thursday,TENDERLOIN,-122.406401668335,37.786614461336605
ROBBERY,Thursday,CENTRAL,-122.403434086745,37.78764305018
ROBBERY,Thursday,SOUTHERN,-122.404270179486,37.78447885387449
ROBBERY,Thursday,SOUTHERN,-122.416818891994,37.776936201488105
ROBBERY,Thursday,BAYVIEW,-122.382475491131,37.7292626391341
ROBBERY,Thursday,CENTRAL,-122.405967327637,37.7929329999572
ROBBERY,Thursday,BAYVIEW,-122.39097173455099,37.734015218072294
ROBBERY,Thursday,MISSION,-122.42120224952299,37.767395172273204
ROBBERY,Wednesday,SOUTHERN,-122.411979487494,37.7809039696758
ROBBERY,Wednesday,TARAVAL,-122.457558060156,37.7122525448134
ROBBERY,Wednesday,SOUTHERN,-122.40019476894399,37.7900527936016
ROBBERY,Wednesday,MISSION,-122.41486276874399,37.7492374030159
ROBBERY,Wednesday,TENDERLOIN,-122.40949986110701,37.785284268431795
ROBBERY,Wednesday,SOUTHERN,-122.40652098714399,37.7850629421661
ROBBERY,Wednesday,BAYVIEW,-122.388280728801,37.72593949872249
ROBBERY,Wednesday,INGLESIDE,-122.40062139992901,37.717776688808605
ROBBERY,Wednesday,TARAVAL,-122.475834301218,37.743962321829
ROBBERY,Tuesday,MISSION,-122.42043472455299,37.7633758058059
ROBBERY,Tuesday,SOUTHERN,-122.410041631816,37.78195365372571
ROBBERY,Tuesday,MISSION,-122.41965834371,37.7642205603745
